testNo ,repeatNo, agentNo, agentID, agentType, agentTypeNo, x, y, z, yaw, vel_x, vel_y, vel_z, speed, time, sim_time, fps
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.791, -112.212, 0.129, -1.533, 0.261, -5.231, -0.000, 5.237, 5.300, 631.077, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 13.368, -134.572, 0.125, -3.121, -5.250, -0.068, 0.024, 5.250, 5.300, 631.077, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.771, -112.734, 0.129, -1.533, 0.181, -5.217, -0.000, 5.220, 5.400, 631.177, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 12.845, -134.579, 0.127, -3.123, -5.225, -0.056, 0.015, 5.225, 5.400, 631.177, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.754, -113.255, 0.129, -1.536, 0.128, -5.210, -0.000, 5.211, 5.500, 631.277, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 12.323, -134.585, 0.128, -3.126, -5.212, -0.038, 0.005, 5.212, 5.500, 631.277, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.742, -113.776, 0.129, -1.539, 0.105, -5.208, -0.000, 5.209, 5.600, 631.377, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 11.802, -134.589, 0.129, -3.128, -5.207, -0.030, 0.002, 5.207, 5.600, 631.377, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.727, -114.297, 0.129, -1.540, 0.204, -5.203, -0.000, 5.207, 5.700, 631.477, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 11.282, -134.596, 0.129, -3.127, -5.200, -0.153, 0.001, 5.202, 5.700, 631.477, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.705, -114.817, 0.129, -1.536, 0.255, -5.204, -0.000, 5.210, 5.800, 631.577, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 10.762, -134.614, 0.129, -3.120, -5.200, -0.219, 0.001, 5.205, 5.800, 631.577, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.682, -115.338, 0.129, -1.533, 0.198, -5.208, -0.000, 5.212, 5.900, 631.677, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 10.242, -134.630, 0.129, -3.117, -5.206, -0.167, 0.001, 5.209, 5.900, 631.677, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.664, -115.859, 0.129, -1.535, 0.168, -5.212, -0.000, 5.215, 6.000, 631.777, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 9.721, -134.645, 0.129, -3.116, -5.211, -0.151, 0.001, 5.213, 6.000, 631.777, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.648, -116.380, 0.129, -1.537, 0.121, -5.215, 0.000, 5.217, 6.100, 631.877, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 9.199, -134.657, 0.129, -3.117, -5.215, -0.100, 0.001, 5.216, 6.100, 631.877, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.637, -116.902, 0.129, -1.541, 0.098, -5.218, 0.000, 5.219, 6.200, 631.977, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 8.678, -134.667, 0.129, -3.119, -5.218, -0.092, 0.000, 5.218, 6.200, 631.977, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.618, -117.423, 0.129, -1.538, 0.230, -5.212, -0.000, 5.217, 6.300, 632.077, 0.000
