testNo, repeatNo, agentNo, agentID, agentType, agentTypeNo, x, y, z, yaw, vel_x, vel_y, vel_z, speed, time, sim_time, fps
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -15.707, -17.435, 0.129, -0.764, 3.619, -3.755, -0.000, 5.216, 5.300, 983.404, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.236, -70.377, 0.941, -1.709, -0.201, -1.486, 0.000, 1.500, 5.300, 983.404, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -15.345, -17.809, 0.129, -0.776, 3.562, -3.803, -0.000, 5.210, 5.400, 983.504, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.258, -70.525, 0.941, -1.711, -0.207, -1.486, 0.000, 1.500, 5.400, 983.504, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -14.988, -18.189, 0.129, -0.789, 3.531, -3.832, -0.000, 5.211, 5.500, 983.604, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.279, -70.674, 0.940, -1.713, -0.210, -1.485, 0.000, 1.500, 5.500, 983.604, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -14.634, -18.571, 0.129, -0.800, 3.490, -3.871, -0.000, 5.212, 5.600, 983.704, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.301, -70.822, 0.940, -1.713, -0.212, -1.485, 0.000, 1.500, 5.600, 983.704, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -14.283, -18.957, 0.129, -0.811, 3.470, -3.892, -0.000, 5.215, 5.700, 983.804, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.322, -70.971, 0.939, -1.714, -0.213, -1.485, 0.000, 1.500, 5.700, 983.804, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -13.930, -19.341, 0.129, -0.815, 3.537, -3.835, -0.000, 5.217, 5.800, 983.904, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.343, -71.119, 0.939, -1.711, -0.211, -1.485, 0.000, 1.500, 5.800, 983.904, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -13.575, -19.723, 0.129, -0.818, 3.545, -3.829, -0.000, 5.219, 5.900, 984.004, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.362, -71.268, 0.939, -1.707, -0.207, -1.486, 0.000, 1.500, 5.900, 984.004, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -13.223, -20.108, 0.129, -0.822, 3.499, -3.872, -0.000, 5.219, 6.000, 984.104, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.382, -71.417, 0.938, -1.705, -0.203, -1.486, 0.000, 1.500, 6.000, 984.104, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -12.873, -20.495, 0.129, -0.826, 3.491, -3.881, 0.000, 5.220, 6.100, 984.204, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.402, -71.565, 0.938, -1.704, -0.201, -1.487, 0.000, 1.500, 6.100, 984.204, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -12.525, -20.884, 0.129, -0.831, 3.457, -3.911, -0.000, 5.220, 6.200, 984.304, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.422, -71.714, 0.937, -1.704, -0.200, -1.487, 0.000, 1.500, 6.200, 984.304, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -12.177, -21.273, 0.129, -0.834, 3.504, -3.868, 0.000, 5.219, 6.300, 984.404, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.441, -71.863, 0.937, -1.704, -0.199, -1.487, 0.000, 1.500, 6.300, 984.404, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -11.825, -21.659, 0.129, -0.833, 3.529, -3.846, -0.000, 5.219, 6.400, 984.504, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.460, -72.012, 0.937, -1.700, -0.197, -1.487, 0.000, 1.500, 6.400, 984.504, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -11.475, -22.046, 0.129, -0.834, 3.491, -3.880, 0.000, 5.219, 6.500, 984.604, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.478, -72.161, 0.936, -1.696, -0.191, -1.488, 0.000, 1.500, 6.500, 984.604, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -11.126, -22.434, 0.129, -0.835, 3.486, -3.885, -0.000, 5.220, 6.600, 984.704, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.496, -72.309, 0.936, -1.694, -0.187, -1.488, 0.000, 1.500, 6.600, 984.704, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -10.778, -22.823, 0.129, -0.838, 3.456, -3.911, -0.000, 5.219, 6.700, 984.804, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.514, -72.458, 0.936, -1.693, -0.185, -1.489, 0.000, 1.500, 6.700, 984.804, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -10.431, -23.213, 0.129, -0.839, 3.508, -3.863, 0.000, 5.218, 6.800, 984.904, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.532, -72.607, 0.935, -1.693, -0.183, -1.489, 0.000, 1.500, 6.800, 984.904, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -10.079, -23.598, 0.129, -0.836, 3.536, -3.838, 0.000, 5.219, 6.900, 985.004, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.550, -72.756, 0.935, -1.693, -0.183, -1.489, 0.000, 1.500, 6.900, 985.004, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -9.731, -23.986, 0.129, -0.838, 3.323, -3.997, 0.000, 5.198, 7.000, 985.104, 0.000
